,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"log_lik[31,2,2]",-0.344096,0.0046211,0.262647,0.348026,-0.784824,-0.328704,-0.000339399,3479.05,2951.54,1.00045
"log_lik[31,2,3]",-0.705103,0.000949217,0.0544577,0.00131951,-0.747763,-0.694037,-0.693147,3188.08,3042.74,1.00088
"log_lik[31,2,4]",-0.0333531,0.00121537,0.0757454,0.00356141,-0.170656,-0.00240214,0.0,3204.88,3223.47,1.00094
"log_lik[31,2,5]",-0.00193694,0.000130046,0.00811309,1.22878e-06,-0.00990395,-8.28804e-07,0.0,3227.67,3045.51,1.00066
"log_lik[31,2,6]",-0.0370635,0.00117471,0.0695558,0.00914297,-0.173806,-0.00616685,-5.11591e-13,3111.47,3015.39,1.00081
"log_lik[31,2,7]",-0.00299906,0.000160249,0.00979514,1.47898e-05,-0.0174399,-9.97562e-06,0.0,3157.25,2990.13,1.00061
"log_lik[31,2,8]",-0.311659,0.00654145,0.330955,0.264234,-0.836163,-0.251096,-0.000603977,2704.01,2911.19,0.999662
"log_lik[31,2,9]",-0.0226737,0.000730269,0.046312,0.0027979,-0.121091,-0.00188715,0.0,3449.02,3135.76,1.00151
"log_lik[31,2,10]",-0.00237576,0.000134969,0.00849841,6.79661e-06,-0.013685,-4.58425e-06,0.0,3376.54,3036.08,1.00139
"log_lik[31,2,11]",-0.000476309,3.81929e-05,0.00239187,5.66103e-08,-0.00213762,-3.81832e-08,0.0,3272.38,3057.74,1.00084
"log_lik[31,2,12]",-0.000140354,1.42504e-05,0.000887927,1.1518e-09,-0.000482827,-7.76875e-10,0.0,3250.09,3032.6,1.00063
"log_lik[31,2,13]",-0.00739954,0.000293438,0.0178537,0.00023488,-0.0424948,-0.000158425,0.0,3172.92,3110.37,1.00064
"log_lik[31,2,14]",-0.000982777,5.92649e-05,0.00366492,9.41994e-07,-0.00547953,-6.35366e-07,0.0,3174.36,2978.22,1.00058
"log_lik[31,2,15]",-0.000233584,1.88844e-05,0.00116617,1.02364e-08,-0.000996083,-6.90436e-09,0.0,3197.61,2930.82,1.00061
"log_lik[31,2,16]",-7.86671e-05,7.8428e-06,0.000483395,2.58533e-10,-0.000267,-1.74378e-10,0.0,3221.75,2902.85,1.00061
"log_lik[31,2,17]",-3.38205e-05,3.94877e-06,0.0002434,1.31155e-11,-8.93776e-05,-8.84626e-12,0.0,3275.5,3028.35,1.00068
"log_lik[31,2,18]",-1.74854e-05,2.33041e-06,0.000143952,1.07452e-12,-3.56328e-05,-7.24754e-13,0.0,3255.79,2989.05,1.00078
"log_lik[31,2,19]",-0.0011654,8.48817e-05,0.00524553,7.7462e-07,-0.00575128,-5.22474e-07,0.0,3092.66,2957.25,1.00057
"log_lik[31,2,20]",-0.000229149,1.9291e-05,0.00119912,7.50021e-09,-0.00102375,-5.05882e-09,0.0,3126.28,2999.52,1.00057
"log_lik[31,2,21]",-0.0194786,0.000902383,0.0509564,0.00108477,-0.106836,-0.000731666,0.0,3136.64,3131.22,1.00019
"log_lik[31,2,22]",-0.00150783,8.965e-05,0.00549453,2.79393e-06,-0.0084635,-1.88448e-06,0.0,3183.74,2837.01,1.00056
"log_lik[31,2,23]",-0.000284949,2.20236e-05,0.00136862,2.17237e-08,-0.00135555,-1.46524e-08,0.0,3174.4,3057.28,1.00053
"log_lik[31,2,24]",-0.0247353,0.00101098,0.0548795,0.0025227,-0.133146,-0.00170154,0.0,3227.51,3041.09,1.00026
