,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"log_lik[4,3,21]",-0.0760771,0.000959823,0.0541555,0.0441274,-0.186884,-0.0623599,-0.015099,3533.24,3261.49,1.00035
"log_lik[4,3,22]",-0.0223088,0.000422651,0.0240049,0.0137856,-0.0709437,-0.0142396,-0.00179226,3655.39,3259.59,1.00052
"log_lik[4,3,23]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"log_lik[4,3,24]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"log_lik[4,3,25]",-0.00364684,0.000136981,0.00747912,0.00139439,-0.0164002,-0.00106345,-3.303e-05,3544.02,3275.54,1.00027
"log_lik[4,3,26]",-0.00400175,0.000154955,0.00839364,0.00148677,-0.0178878,-0.0011316,-3.49771e-05,3546.67,3247.66,1.00029
"log_lik[4,3,27]",-7.72879,0.0315562,1.96632,1.89427,-11.2028,-7.56803,-4.80729,3782.0,3512.04,1.00059
"log_lik[4,3,28]",-0.00214517,9.67575e-05,0.00531996,0.000606794,-0.0101473,-0.000440301,-7.61895e-06,3581.12,3196.4,1.00006
"log_lik[4,3,29]",-0.00217026,8.61004e-05,0.00476935,0.00074941,-0.00951469,-0.000553435,-1.27526e-05,3616.72,3453.26,1.00014
"log_lik[4,3,30]",-0.00232727,8.59459e-05,0.00487664,0.00088981,-0.00999206,-0.000663716,-1.74885e-05,3728.96,3347.51,1.00016
"log_lik[4,4,1]",-0.593302,0.00161485,0.101252,0.100818,-0.751705,-0.598699,-0.417926,3942.97,3381.78,1.00039
"log_lik[4,4,2]",-0.310591,0.0017166,0.107697,0.107729,-0.496673,-0.304505,-0.143304,3961.58,3506.04,1.00084
"log_lik[4,4,3]",-0.164327,0.00135156,0.0848055,0.0808683,-0.32058,-0.151427,-0.048829,3989.96,3640.17,1.00095
"log_lik[4,4,4]",-0.1337,0.00133827,0.084396,0.0767331,-0.29466,-0.117006,-0.0302334,4056.85,3608.64,1.00041
"log_lik[4,4,5]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
